like,title,category_id,duration,view_count,like_count,comment_count,topic_categories,upload_date
0,Jurassic World Theory: The Indominus Rex Didn't Kill Echo,1,PT2M24S,153195,1532,256,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",2020-10-27T22:02:57Z
1,This why Chelsea won Champions League,22,PT10S,50135587,1502270,6715,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2021-09-08T16:31:35Z
1,LangChain Explained In 15 Minutes - A MUST Learn For Python Programmers,27,PT15M39S,141319,4283,92,['https://en.wikipedia.org/wiki/Technology'],2023-12-13T14:00:35Z
1,트레이딩에 Time Series Representation 활용해보기,28,PT12M22S,5380,242,7,['https://en.wikipedia.org/wiki/Knowledge'],2024-08-23T07:29:45Z
0,'주급 9억 원' 받던 베일과 손흥민의 조합이 기대되는 이유,17,PT13M32S,1121298,12574,1156,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2020-10-04T07:45:12Z
0,😎Magnet Collector✈️🖤 #미국승무원 #승무원 #외항사승무원,26,PT24S,1272,22,2,[],2024-10-01T20:34:09Z
1,How I Find Altcoins BEFORE They Explode,27,PT8M18S,284362,12568,718,[],2024-03-04T17:16:53Z
1,"구글, 페이스북 출신 개발자가 코딩 반대하는 이유",27,PT7M25S,248539,3081,646,[],2024-02-12T13:00:11Z
0,한강에서 데이트 할 때 절대 포기할 수 없는 것,24,PT1M,3454004,77041,214,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",2024-09-28T09:00:16Z
1,12-Week Leetcode Prep Guide,22,PT11M10S,25753,1792,81,['https://en.wikipedia.org/wiki/Knowledge'],2024-02-27T01:11:48Z
0,Causality: Dagitty,27,PT5M46S,10748,108,7,['https://en.wikipedia.org/wiki/Knowledge'],2019-05-11T06:22:18Z
1,찐 일본 덕후가 말아주는 오사카 여행 가이드,19,PT18M40S,382867,7892,175,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",2024-04-20T12:04:09Z
1,[이호 목사 초청 특별세미나] 청년이여 시대를 분별하라 03,29,PT1H31M47S,49089,2081,0,"['https://en.wikipedia.org/wiki/Religion', 'https://en.wikipedia.org/wiki/Society']",2018-07-05T10:59:25Z
0,당신은 영광의 왕 | YKDC | OPEN WORSHIP,10,PT5M36S,1711086,6413,195,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Music']",2022-07-06T13:10:11Z
1,Socket.io + ReactJS Tutorial | Learn Socket.io For Beginners,28,PT32M35S,283401,7751,250,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2022-03-22T13:00:30Z
1,축구화 풋살화 끈 매는법 3가지 꿀팁! 쉽게 따라하기,17,PT5M27S,125857,0,52,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2023-03-30T09:00:17Z
0,The Korean NAVY SEAL fitness test,23,PT32M44S,2724923,85896,3450,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Military', 'https://en.wikipedia.org/wiki/Physical_fitness']",2024-06-12T12:58:40Z
